id,query_found
10,"[0.4375, 0.011166784723084867, 0.5513332152769151]"
28,"[0.15141679744445183, 0.515625, 0.3329582025555482]"
75,"[0.30091320250306214, 0.44646227484802153, 0.2526245226489163]"
127,"[0.0, 0.45143661896652415, 0.5485633810334758]"
159,"[0.0, 0.5935255835668618, 0.4064744164331382]"
270,"[0.4375, 0.17547342942598226, 0.3870265705740177]"
302,"[0.3182605302439265, 0.46875, 0.21298946975607347]"
339,"[0.048098698952892274, 0.625, 0.3269013010471077]"
479,"[0.4548358928503514, 0.07200915159158723, 0.4731549555580613]"
533,"[0.38737203571954104, 0.375, 0.23762796428045896]"
618,"[0.446322634414121, 0.05959702683341377, 0.49408033875246526]"
629,"[0.0, 0.7058773822605939, 0.29412261773940607]"
647,"[0.4937831444948374, 0.2734375, 0.2327793555051626]"
694,"[0.25, 0.75, 0.0]"
729,"[0.4333352521081091, 0.5666647478918909, 0.0]"
817,"[0.16693088043977622, 0.36790036347743377, 0.46516875608278996]"
837,"[0.2949275533698595, 0.4631634627697918, 0.24190898386034876]"
846,"[0.4044600686301889, 0.31383449743684905, 0.2817054339329621]"
867,"[0.39363619102768704, 0.299525094583845, 0.3068387143884679]"
891,"[0.625, 0.3602105359851278, 0.014789464014872244]"
909,"[0.43454697397898984, 0.5654530260210102, 0.0]"
1077,"[0.0625, 0.5, 0.4375]"
1081,"[0.45825735364014575, 0.29987626785060384, 0.2418663785092504]"
1168,"[0.3368618596128182, 0.4375, 0.22563814038718177]"
1175,"[0.53125, 0.2693000686588568, 0.1994499313411432]"
1238,"[0.3915334273017269, 0.37926649796553763, 0.2292000747327354]"
1282,"[0.6396059423769458, 0.3603940576230542, 0.0]"
1507,"[0.005842375060708763, 0.5514003184526006, 0.44275730648669065]"
1510,"[0.0625, 0.49516127782612845, 0.4423387221738715]"
1613,"[0.2801466524077795, 0.5218154268429318, 0.19803792074928872]"
1620,"[0.014753245743097816, 0.6818676823550659, 0.30337907190183633]"
1637,"[0.5625, 0.03033708253932533, 0.4071629174606747]"
1659,"[0.5, 0.49379061633754434, 0.006209383662455714]"
1662,"[0.0, 0.7433655261999829, 0.25663447380001714]"
1691,"[0.6648842494665731, 0.1796875, 0.1554282505334269]"
1721,"[0.4375, 0.14607186781849602, 0.416428132181504]"
1780,"[0.13567044940493858, 0.34291209435594394, 0.5214174562391175]"
1814,"[0.03125, 0.5244182366988055, 0.4443317633011945]"
1890,"[0.30510513065200906, 0.1119972508215326, 0.5828976185264583]"
1916,"[0.395943529034448, 0.375, 0.22905647096555204]"
1951,"[0.5216330309879399, 0.3888328563620606, 0.08953411264999955]"
2021,"[0.25, 0.125, 0.625]"
2046,"[0.4491241259648075, 0.21875, 0.33212587403519245]"
2055,"[0.5, 0.5, 0.0]"
2081,"[0.75, 0.1916444449671908, 0.0583555550328092]"
2083,"[0.4445885344234377, 0.5554114655765623, 0.0]"
2099,"[0.296875, 0.25238447653581647, 0.4507405234641835]"
2118,"[0.34003224453331193, 0.2424801359582203, 0.4174876195084678]"
2184,"[0.625, 0.3125, 0.0625]"
2206,"[0.08312198643047289, 0.5555447437705666, 0.3613332697989605]"
2254,"[0.375, 0.0, 0.625]"
2273,"[0.18340972282677465, 0.50287291598014, 0.31371736119308546]"
2385,"[0.4375, 0.0, 0.5625]"
2427,"[0.23528693421878785, 0.48222553677944907, 0.2824875290017631]"
2511,"[0.14894067220215362, 0.38611927648805794, 0.46494005130978844]"
2694,"[0.3125, 0.26127655917567966, 0.4262234408243204]"
2702,"[0.7393454582697163, 0.21875, 0.041904541730283684]"
2703,"[0.296875, 0.48534578761246244, 0.2177792123875375]"
2733,"[0.00048121672218459795, 0.6166030695504436, 0.38291571372737176]"
2754,"[0.049922627531136535, 0.45557189101774964, 0.49450548145111384]"
2791,"[0.8125, 0.14685538123503283, 0.040644618764967166]"
2966,"[0.19921875, 0.5102831726365561, 0.2904980773634439]"
3142,"[0.14093354650730727, 0.375, 0.4840664534926927]"
3257,"[0.20562492142344949, 0.5, 0.29437507857655054]"
3289,"[0.625, 0.0, 0.375]"
3295,"[0.08648641684382533, 0.5, 0.4135135831561747]"
3382,"[0.0, 0.8335452478898684, 0.1664547521101316]"
3401,"[0.0, 0.6015625, 0.3984375]"
3449,"[0.0, 0.625, 0.375]"
3454,"[0.20622975069210228, 0.3923946575590349, 0.40137559174886284]"
3465,"[0.25633363069475723, 0.4068026228156674, 0.3368637464895754]"
3715,"[0.2968432298101745, 0.2192197000930261, 0.4839370700967993]"
3716,"[0.6964442062392125, 0.28393913033454043, 0.019616663426247016]"
3836,"[0.1875, 0.5884058829607356, 0.2240941170392644]"
3871,"[0.16551206085722636, 0.5955660681719079, 0.2389218709708657]"
3887,"[0.0, 0.3323552446638148, 0.6676447553361853]"
3899,"[0.25, 0.625, 0.125]"
3963,"[0.5, 0.15228335477030572, 0.34771664522969425]"
3995,"[0.20995998481225023, 0.375, 0.4150400151877498]"
3999,"[0.4375, 0.21875, 0.34375]"
4026,"[0.45448092828442077, 0.37840341749249967, 0.1671156542230796]"
4040,"[0.2622971214265038, 0.25, 0.48770287857349626]"
4156,"[0.24015051474493568, 0.4649109688042117, 0.2949385164508527]"
4250,"[0.23097494397356794, 0.484375, 0.284650056026432]"
4267,"[0.3978229710868916, 0.5543616796004445, 0.04781534931266396]"
4292,"[0.21681657723614217, 0.3607425796779175, 0.4224408430859403]"
4348,"[0.53125, 0.32632916662589967, 0.1424208333741004]"
4393,"[0.0, 0.6022349953935223, 0.3977650046064777]"
4434,"[0.04646962592322338, 0.4179044288333714, 0.5356259452434051]"
4444,"[0.375, 0.4375, 0.1875]"
4457,"[0.44827262836591325, 0.5448399497797172, 0.006887421854369524]"
4465,"[0.3355947387190484, 0.2534420775594529, 0.41096318372149865]"
4543,"[0.33334403097536736, 0.04488605708234337, 0.6217699119422893]"
4559,"[0.75, 0.0, 0.25]"
4636,"[0.25, 0.25, 0.5]"
4784,"[0.5, 0.375, 0.125]"
4897,"[0.19210438542983613, 0.4334308391994922, 0.3744647753706717]"
4973,"[0.375, 0.125, 0.5]"
5028,"[0.328125, 0.53125, 0.140625]"
5051,"[0.4375, 0.3125, 0.25]"
5065,"[0.4274812642762566, 0.2095173352190287, 0.36300140050471463]"
5245,"[0.13325100122008993, 0.0625, 0.8042489987799101]"
5281,"[0.1875, 0.5755069454947781, 0.2369930545052219]"
5321,"[0.0, 0.4375, 0.5625]"
5408,"[0.2578125, 0.37686170898884913, 0.3653257910111509]"
5443,"[0.2033544690667663, 0.5101957773259891, 0.28644975360724456]"
5489,"[0.45457219137498844, 0.14184023268040033, 0.40358757594461125]"
5505,"[0.625, 0.375, 0.0]"
5520,"[0.2956723522159217, 0.3834608625565151, 0.3208667852275632]"
5663,"[0.375, 0.5920953856720648, 0.03290461432793523]"
5694,"[0.5, 0.34637257722926496, 0.15362742277073504]"
5766,"[0.020445784155872927, 0.34323384113347544, 0.6363203747106516]"
5777,"[0.0, 0.344651356661213, 0.655348643338787]"
5813,"[0.5625, 0.21246650863093644, 0.2250334913690636]"
5838,"[0.4750869165100243, 0.2563282688011994, 0.26858481468877626]"
5919,"[0.40625, 0.5262068699379284, 0.06754313006207158]"
5949,"[0.4404949284308564, 0.5592593405087719, 0.0002457310603716234]"
6079,"[0.625, 0.0033076040758859317, 0.37169239592411407]"
6091,"[0.32000009354127135, 0.2561578150102863, 0.4238420914484424]"
6181,"[0.25, 0.625, 0.125]"
6197,"[0.1738940297984245, 0.4410162500836919, 0.38508972011788356]"
6203,"[0.2803330470070538, 0.0625, 0.6571669529929463]"
6381,"[0.2411595007035195, 0.3058861925798473, 0.4529543067166333]"
6446,"[0.5845701903260839, 0.14565095879599232, 0.26977885087792375]"
6602,"[0.12941152763933148, 0.5625, 0.3080884723606685]"
6655,"[0.4302462325704471, 0.3158612184588255, 0.25389254897072744]"
6791,"[0.1875, 0.46875, 0.34375]"
6868,"[0.6371680285857411, 0.3628319714142589, 0.0]"
6898,"[0.23151489717134416, 0.707753441189734, 0.06073166163892174]"
7054,"[0.3421183579246144, 0.40625, 0.2516316420753856]"
7072,"[0.75, 0.25, 0.0]"
7127,"[0.1530783658763561, 0.515625, 0.33129663412364385]"
7354,"[0.4662736300521201, 0.5337263699478799, 0.0]"
7362,"[0.07858687127053673, 0.016335254740197574, 0.9050778739892656]"
7371,"[0.32793346863104833, 0.385515402555831, 0.2865511288131206]"
7401,"[0.6729005285459757, 0.32709947145402435, 0.0]"
7427,"[0.125, 0.0705958152447693, 0.8044041847552307]"
7475,"[0.41796875, 0.32623844108942274, 0.2557928089105772]"
7492,"[0.08579012247378354, 0.37919162387296435, 0.5350182536532522]"
7534,"[0.125, 0.6169039195501501, 0.2580960804498499]"
7583,"[0.5091260877060013, 0.4908739122939987, 0.0]"
7765,"[0.2282588188846331, 0.45960642773317484, 0.3121347533821921]"
7866,"[0.15625, 0.39828186354913897, 0.44546813645086103]"
7884,"[0.0, 0.5107419005847439, 0.4892580994152561]"
8039,"[0.2886440036963281, 0.359375, 0.35198099630367197]"
8047,"[0.25, 0.75, 0.0]"
8076,"[0.1970365258384488, 0.59375, 0.20921347416155123]"
8115,"[0.3793211348796884, 0.25261897806273903, 0.36805988705757264]"
8223,"[0.0, 0.71875, 0.28125]"
8226,"[0.30130822851647676, 0.6294708354523134, 0.06922093603120982]"
8261,"[0.5, 0.0, 0.5]"
8262,"[0.49769197294725154, 0.40482235282609463, 0.09748567422665388]"
8325,"[0.3035013595519185, 0.10483865082284108, 0.5916599896252405]"
8328,"[0.25, 0.18215212996073443, 0.5678478700392655]"
8363,"[0.375, 0.171875, 0.453125]"
8402,"[0.25, 0.04354300695589574, 0.7064569930441043]"
8516,"[0.3918557043655069, 0.0, 0.6081442956344931]"
8517,"[0.75, 0.004386625594701568, 0.2456133744052984]"
8585,"[0.34375, 0.2563974865655128, 0.39985251343448724]"
8620,"[0.539132158402756, 0.2730855996003569, 0.1877822419968871]"
8631,"[0.3125, 0.6875, 0.0]"
8653,"[0.21498315789579311, 0.2502521013340017, 0.5347647407702052]"
8702,"[0.30314770681928566, 0.25050219251819417, 0.4463501006625201]"
8811,"[0.25, 0.4734345830662259, 0.2765654169337741]"
8823,"[0.23877766512387313, 0.2540844357339299, 0.507137899142197]"
8883,"[0.30400683099951004, 0.4643854825050787, 0.2316076864954113]"
8887,"[0.4439819910032761, 0.28125, 0.27476800899672393]"
8923,"[0.4375, 0.49084247413614285, 0.07165752586385721]"
8940,"[0.625, 0.0, 0.375]"
8953,"[0.2425941376441697, 0.543134883681917, 0.21427097867391331]"
8977,"[0.0, 0.75, 0.25]"
8988,"[0.7406188220191902, 0.2576178988482817, 0.0017632791325281616]"
9103,"[0.7656442607158499, 0.2343557392841501, 0.0]"
9226,"[0.125, 0.029733235669358375, 0.8452667643306416]"
9235,"[0.14920845785229414, 0.5746677413584024, 0.27612380078930343]"
9251,"[0.4776508145226895, 0.29181098740625044, 0.23053819807106013]"
9299,"[0.7642511223099437, 0.22168490828674553, 0.014063969403310672]"
9362,"[0.18626173502018226, 0.43267036798967246, 0.3810678969901453]"
9434,"[0.0, 0.5064264918252048, 0.4935735081747952]"
9505,"[0.109375, 0.30642163666710287, 0.5842033633328971]"
9566,"[0.53125, 0.0, 0.46875]"
9583,"[0.04669350957796456, 0.5268527512795883, 0.4264537391424471]"
9629,"[0.3129820369425578, 0.4227444768402619, 0.2642734862171803]"
9675,"[0.3146601647388003, 0.43359375, 0.2517460852611997]"
9844,"[0.45530679526687134, 0.3133287234248728, 0.23136448130825582]"
9864,"[0.49947077386507804, 0.015625, 0.4849042261349219]"
9892,"[0.5, 0.47346609384477506, 0.026533906155224996]"
