id,query_found
341,"[0.375, 0.5718932000847443, 0.05310679991525569]"
654,"[0.0006218759678074653, 0.0399154597182721, 0.9594626643139205]"
741,"[0.25, 0.5, 0.25]"
932,"[0.9375, 0.044178073843314, 0.01832192615668604]"
1179,"[0.25, 0.625, 0.125]"
1295,"[0.0, 0.0, 1.0]"
1358,"[0.0625, 0.8125, 0.125]"
1388,"[0.00026740454978572015, 0.9990234375, 0.0007091579502143119]"
1422,"[0.0009313586485084469, 0.9982798282425412, 0.0007888131089502926]"
2055,"[0.0, 1.0, 0.0]"
2195,"[0.5134734420049114, 0.03574988942711601, 0.4507766685679726]"
2401,"[0.001953125, 0.998046875, 0.0]"
2737,"[0.5, 0.4681524957643879, 0.03184750423561211]"
2904,"[0.125, 0.8658218206175528, 0.009178179382447249]"
2931,"[0.015625, 0.953125, 0.03125]"
2942,"[0.9403489738480851, 0.0035082493715320314, 0.05614277678038282]"
2960,"[0.0, 0.34375, 0.65625]"
3017,"[0.875, 0.023862827416313192, 0.10113717258368682]"
3667,"[0.9655566109904756, 0.0, 0.03444338900952437]"
3673,"[0.009415771150190601, 0.0625, 0.9280842288498095]"
3765,"[0.03125, 0.0012238243591207183, 0.9675261756408793]"
3819,"[0.9921874999999999, 0.0078125, 1.1102230246251565e-16]"
3903,"[0.984375, 0.008853700064873762, 0.006771299935126263]"
3927,"[0.984375, 0.0, 0.015625]"
4413,"[0.0, 0.875, 0.125]"
4430,"[0.59375, 0.03125, 0.375]"
4672,"[0.078125, 0.009715221131556068, 0.9121597788684439]"
4869,"[0.71875, 0.008032874592396134, 0.2732171254076039]"
4968,"[0.99609375, 0.0, 0.00390625]"
5160,"[0.375, 0.32663680623119784, 0.29836319376880216]"
5218,"[0.0, 8.285644243505423e-05, 0.9999171435575649]"
5406,"[0.75, 0.22447213593259746, 0.025527864067402595]"
6027,"[0.9375, 0.003780883575194995, 0.058719116424804985]"
6088,"[0.0, 0.46875, 0.53125]"
6465,"[0.0078125, 0.9921875, 0.0]"
6500,"[1.0, 0.0, 0.0]"
6979,"[0.35658324456420015, 0.5, 0.1434167554357999]"
7437,"[0.03125, 0.9375, 0.03125]"
7580,"[0.0009059593478639121, 0.998046875, 0.0010471656521361394]"
7742,"[0.001953125, 0.9967809686072784, 0.0012659063927216163]"
7744,"[0.90625, 0.09043044028538633, 0.003319559714613618]"
7751,"[0.984375, 0.001550696090803103, 0.01407430390919695]"
7763,"[0.0003427650703442713, 0.99951171875, 0.00014551617965574692]"
7857,"[0.0546875, 0.921875, 0.0234375]"
7975,"[0.78125, 0.02426314059194079, 0.1944868594080592]"
8145,"[0.0, 0.9993930947792258, 0.0006069052207742232]"
8482,"[0.296875, 0.0, 0.703125]"
8871,"[0.375, 0.03125, 0.59375]"
9021,"[0.90625, 0.008427154961881574, 0.08532284503811838]"
9220,"[0.00027190259614095623, 0.0078125, 0.991915597403859]"
9253,"[0.9996941436452731, 0.00030585635472690775, 0.0]"
9456,"[0.125, 0.0, 0.875]"
9457,"[0.015625, 0.00037372794614641737, 0.9840012720538536]"
9510,"[0.6875, 0.0625, 0.25]"
9537,"[0.25, 0.6397621435271024, 0.11023785647289763]"
9713,"[0.0, 0.98828125, 0.01171875]"
9744,"[0.59375, 0.050455671795808975, 0.355794328204191]"
9887,"[0.002186201409164777, 0.9870963355078461, 0.010717463082989043]"
9977,"[0.96875, 0.0068848426566306044, 0.024365157343369415]"
