id,query_found
411,"[0.0, 0.6799274120215455, 0.3200725879784545]"
591,"[0.0, 0.4403531669971589, 0.5596468330028411]"
762,"[0.5, 0.5, 0.0]"
1103,"[0.3125, 0.3125, 0.375]"
1126,"[0.5863196480701005, 0.03681229738948979, 0.3768680545404097]"
1698,"[0.25, 0.4932806533067208, 0.2567193466932792]"
2172,"[0.3248928616925067, 0.4375, 0.23760713830749336]"
2465,"[0.7615139711357186, 0.011314016086514486, 0.22717201277776689]"
2477,"[0.35622614372389766, 0.558402296459773, 0.08537155981632938]"
2681,"[0.4599084473440015, 0.0, 0.5400915526559985]"
3215,"[0.40839718041824385, 0.125, 0.4666028195817562]"
3221,"[0.08217107499865584, 0.6439514989786213, 0.2738774260227229]"
3352,"[0.22036876991669815, 0.608074876234822, 0.17155635384847978]"
3421,"[0.15809463823363018, 0.0440114281804708, 0.797893933585899]"
3558,"[0.582432555111428, 0.0, 0.417567444888572]"
3768,"[0.6639219133656593, 0.0, 0.3360780866343407]"
3859,"[0.0, 0.125, 0.875]"
4112,"[0.75, 0.03435010987903814, 0.2156498901209618]"
4226,"[0.0, 0.7248584136461151, 0.27514158635388486]"
4479,"[0.4362540017072696, 0.5637459982927304, 0.0]"
4559,"[0.20936395731339777, 0.37931513862060046, 0.41132090406600175]"
4680,"[0.3981999349155254, 0.293201659239547, 0.3085984058449276]"
4838,"[0.375, 0.375, 0.25]"
4870,"[0.4517603877593791, 0.43237024560600124, 0.11586936663461966]"
5016,"[0.39042563727136315, 0.125, 0.48457436272863685]"
5293,"[0.0, 0.009666572681827305, 0.9903334273181726]"
5337,"[0.041560250545304225, 0.051264460162368256, 0.9071752892923275]"
5666,"[0.5486245724348152, 0.44301905699265265, 0.008356370572532135]"
5810,"[0.25, 0.38953006967943704, 0.36046993032056296]"
5841,"[0.6119159646807686, 0.26488055391898596, 0.1232034814002454]"
5903,"[0.2855112477267425, 0.375, 0.3394887522732575]"
6174,"[0.06340218074009803, 0.18274067589562806, 0.7538571433642739]"
6323,"[0.1111252471355468, 0.6407634683091215, 0.2481112845553317]"
6448,"[0.3125, 0.25, 0.4375]"
6827,"[0.0461895373663375, 0.46277897568556864, 0.49103148694809384]"
7013,"[0.4387377308851415, 0.5612622691148585, 0.0]"
7608,"[0.086471261594168, 0.3833202100341976, 0.5302085283716345]"
7670,"[0.43183148716466907, 0.34942603260157484, 0.2187424802337561]"
7777,"[0.23363336478083999, 0.650581453457831, 0.11578518176132901]"
7848,"[0.5237733450136117, 0.0742827010473445, 0.4019439539390438]"
7927,"[0.0, 0.25, 0.75]"
8030,"[0.25, 0.0, 0.75]"
8284,"[0.461310460588548, 0.24517868893516742, 0.29351085047628456]"
8932,"[0.25, 0.75, 0.0]"
9044,"[0.625, 0.08341371934017255, 0.2915862806598275]"
9143,"[0.40198881085525306, 0.1572599998333979, 0.44075118931134905]"
9147,"[0.0, 0.5, 0.5]"
9314,"[0.523954304963944, 0.3493779745556931, 0.1266677204803629]"
9344,"[0.04504231130515053, 0.337260026574445, 0.6176976621204044]"
9831,"[0.5, 0.0, 0.5]"
