id,x1,x2,x3,pIndex,Volume,Relative Volume,Grid,Grid Denominator,Max Rank
411,0.6024434666302334,0.1213367490818371,0.2981038826811525,2,0.0006,0.0008142880408229736,0.023809523809523808,42,2
591,0.6902242130640417,0.2899915678630182,0.1452243632909992,10,0.0,0.0,0.004,250,3
762,0.023319144212471,0.3037478793075748,0.4345882642570076,1,0.00782,0.010612887465392759,0.14285714285714285,7,1
1103,0.3238591677675296,0.2604240563298862,0.2151609534529686,2,0.00046,0.0006242874979642799,0.0625,16,2
1126,0.1483835693968983,0.4774488727079893,0.2970987536727406,2,0.00096,0.001302860865316758,0.058823529411764705,17,4
1698,0.4051047436196177,0.1605030131592224,0.2853394618582771,2,0.00058,0.0007871451061288746,0.07692307692307693,13,2
2172,0.2991743693156444,0.2276746176335342,0.3054082512663409,2,0.00042,0.0005700016285760816,0.037037037037037035,27,5
2465,0.1189139698668271,0.444396485368536,0.3787748038694757,6,0.00014,0.00019000054285869385,0.009900990099009901,101,4
2477,0.3526044576220865,0.2206033977576266,0.4253053162121409,>15,0.0,0.0,0.004,250,26
2681,0.2403110022289423,0.5895209296293894,0.1757461262619045,13,0.0,0.0,0.004016064257028112,249,3
3215,0.2348515770372305,0.4859200860179991,0.1764912129225458,2,0.00034,0.0004614298897996851,0.038461538461538464,26,2
3221,0.3965152224796958,0.0120211597965425,0.4230800467918476,1,0.0151,0.02049291569404484,0.16666666666666666,6,1
3352,0.4296210981620293,0.1526805016035829,0.3786777505117425,10,0.0,0.0,0.00847457627118644,118,6
3421,0.4197309720703907,0.4363943212198021,0.1404515602915837,9,0.0,0.0,0.011627906976744186,86,7
3558,0.1622196622319186,0.6208857826479816,0.2763063097777554,3,0.00046,0.0006242874979642799,0.025,40,4
3768,0.0,0.4301182813605524,0.408901282157275,1,0.00936,0.01270289343683839,0.03125,32,1
3859,0.6296336406123334,0.373010350097975,0.1294985469454234,5,0.00016,0.000217143477552793,0.010752688172043012,93,6
4112,0.1280331697337887,0.3457615063461908,0.3563666082430611,2,0.00036,0.0004885728244937843,0.030303030303030304,33,3
4226,0.6423723829660325,0.102924345961656,0.3717328034995708,4,0.00028,0.0003800010857173877,0.02040816326530612,49,4
4479,0.2174781516501486,0.2763912377256308,0.4952335951540488,>15,0.0,0.0,0.004,250,11
