id,query_found
119,"[0.21875, 0.3390910244406275, 0.44215897555937245]"
214,"[0.19550075860977825, 0.8044992413902218, 0.0]"
313,"[0.453125, 0.3749764575428222, 0.17189854245717773]"
428,"[0.3635755542198158, 0.28125, 0.3551744457801842]"
609,"[0.3914414488900984, 0.40228846598806595, 0.20627008512183564]"
652,"[0.42975511439341807, 0.375, 0.19524488560658193]"
829,"[0.016234381672935273, 0.5741351089168859, 0.40963050941017887]"
844,"[0.0, 0.4443920081751659, 0.5556079918248341]"
874,"[0.8633468390537977, 0.06040337959686237, 0.0762497813493399]"
950,"[0.40625, 0.27102740739949754, 0.3227225926005024]"
1200,"[0.0, 0.3125, 0.6875]"
1568,"[0.43958180389999046, 0.0, 0.5604181961000095]"
1884,"[0.23104659562568491, 0.5, 0.26895340437431514]"
2025,"[0.125, 0.5, 0.375]"
2299,"[0.0016529897989516465, 0.5625, 0.4358470102010483]"
2338,"[0.1875, 0.2472737717873161, 0.5652262282126839]"
2445,"[0.4600054829832947, 0.45058673589016535, 0.08940778112653991]"
2511,"[0.45546533498756414, 0.3284534968481381, 0.2160811681642978]"
2545,"[0.25, 0.38205980103276094, 0.36794019896723906]"
2704,"[0.28125, 0.34404590492143944, 0.3747040950785605]"
2740,"[0.4244295671760213, 0.0, 0.5755704328239787]"
3046,"[0.0, 0.628970847501799, 0.371029152498201]"
3214,"[0.75, 0.25, 0.0]"
3494,"[0.09905758061590896, 0.24395295328611347, 0.6569894660979776]"
3899,"[0.75, 0.0, 0.25]"
4000,"[0.5, 0.5, 0.0]"
4538,"[0.0, 0.21875, 0.78125]"
4567,"[0.10216424989019726, 0.3125, 0.5853357501098028]"
4605,"[0.5, 0.3554538128665132, 0.14454618713348677]"
4851,"[0.48616447011555, 0.5043483117644837, 0.009487218119966334]"
4917,"[0.8706216455435333, 0.125, 0.0043783544564667265]"
5027,"[0.3507784243090595, 0.35113796711525685, 0.2980836085756837]"
5169,"[0.5, 0.0625, 0.4375]"
5268,"[0.3125, 0.25897296717044316, 0.42852703282955684]"
5391,"[0.0, 0.625, 0.375]"
5591,"[0.006121879071730046, 0.6042464782563264, 0.3896316426719436]"
5639,"[0.5024482326540802, 0.3125, 0.18505176734591977]"
5728,"[0.46875, 0.4515977339413451, 0.07965226605865494]"
5865,"[0.38601398321416486, 0.38918938975597983, 0.22479662702985537]"
5953,"[0.1875, 0.17139639107750945, 0.6411036089224905]"
5958,"[0.15625, 0.22911708599107025, 0.6146329140089297]"
6117,"[0.4165780486210418, 0.489681826903088, 0.09374012447587021]"
6614,"[0.022617802190018802, 0.25, 0.7273821978099813]"
6627,"[0.3125, 0.15625, 0.53125]"
6647,"[0.0, 0.75, 0.25]"
6931,"[0.5525556502055838, 0.447444349794416, 2.220446049250313e-16]"
6969,"[0.4423249324041277, 0.3711167197905812, 0.18655834780529112]"
7140,"[0.7122645595573395, 0.2877354404426604, 1.1102230246251565e-16]"
7445,"[0.5, 0.25, 0.25]"
7832,"[0.375, 0.5045251291063247, 0.12047487089367526]"
7879,"[0.05662347613697389, 0.375, 0.5683765238630261]"
7991,"[0.4375, 0.5625, 0.0]"
8117,"[0.75, 0.0, 0.25]"
8222,"[0.4754844862484596, 0.09391681695378075, 0.43059869679775964]"
8316,"[0.16855207076855236, 0.14861883687290994, 0.6828290923585377]"
8387,"[0.12119190358852286, 0.5, 0.37880809641147717]"
9231,"[0.25, 0.3125, 0.4375]"
9257,"[0.37923383652197656, 0.1827825918119799, 0.4379835716660435]"
9282,"[0.0625, 0.25, 0.6875]"
9443,"[0.2547124726483205, 0.3551216142843125, 0.39016591306736703]"
9609,"[0.5494619882398936, 0.16104902993578865, 0.2894889818243178]"
9978,"[0.8859003936293214, 0.0, 0.11409960637067862]"
