id,query_found
169,"[0.005930520229400136, 0.9904325344082527, 0.003636945362347155]"
270,"[0.0018710137776035858, 0.9981289862223963, 1.1102230246251565e-16]"
284,"[0.9921875, 0.004177236459857256, 0.0036352635401427635]"
487,"[0.0, 0.0019010244219955213, 0.9980989755780045]"
519,"[0.0625, 0.00532282371925303, 0.9321771762807469]"
598,"[0.0, 0.00390625, 0.99609375]"
1055,"[0.5, 0.1640631332295478, 0.3359368667704522]"
1179,"[0.027946040535229554, 0.005419023834231454, 0.966634935630539]"
1342,"[0.953125, 0.013653113483985395, 0.033221886516014654]"
1602,"[0.90625, 0.015050619312817705, 0.0786993806871823]"
2045,"[0.999367525726379, 0.0006324742736210087, 0.0]"
2237,"[0.5, 0.25, 0.25]"
2260,"[0.99865841489463, 0.0, 0.001341585105369969]"
2575,"[0.046875, 0.0033149464187316245, 0.9498100535812684]"
2598,"[0.995013620308256, 0.004986379691743897, 1.1102230246251565e-16]"
2842,"[0.014009255270676767, 0.03629034527151055, 0.9497003994578127]"
3023,"[0.956153205894262, 0.006102213866446597, 0.03774458023929139]"
3024,"[0.9375, 0.013045637020289507, 0.04945436297971051]"
3245,"[0.05854791742583393, 0.25, 0.6914520825741661]"
3293,"[0.032945335005334184, 0.457209282530384, 0.5098453824642818]"
3445,"[0.75, 0.003065088430453378, 0.2469349115695466]"
3508,"[0.03191737472591045, 0.0012894350287305316, 0.966793190245359]"
3598,"[0.0024180509508433287, 0.9375, 0.06008194904915665]"
3601,"[0.4375, 0.0, 0.5625]"
3760,"[0.6579262902666587, 0.05639920938539575, 0.2856745003479455]"
3762,"[0.9921875, 0.0019084863778576029, 0.005904013622142434]"
4948,"[0.001953125, 0.0006108109497527735, 0.9974360640502472]"
4961,"[0.1852513760352564, 0.5326463451102402, 0.28210227885450334]"
5110,"[0.0, 0.9933136372917991, 0.006686362708200888]"
5310,"[0.9988877155371877, 0.0, 0.0011122844628123074]"
5523,"[0.125, 0.8125, 0.0625]"
5525,"[0.0015544452230413222, 0.0, 0.9984455547769587]"
5868,"[0.0, 0.00820086701935484, 0.9917991329806451]"
6112,"[0.99609375, 0.0, 0.00390625]"
6901,"[0.9991734716944836, 0.0, 0.0008265283055164385]"
6949,"[0.0, 0.9989366959013083, 0.0010633040986917086]"
6999,"[0.008748759761496309, 0.0625, 0.9287512402385036]"
7058,"[0.96875, 0.01704782661634237, 0.01420217338365759]"
7318,"[0.07190693950335375, 0.75, 0.1780930604966462]"
7326,"[0.09374999999999988, 0.90625, 1.1102230246251565e-16]"
9372,"[0.0, 0.875, 0.125]"
9936,"[0.625, 0.15657491139859295, 0.21842508860140708]"
