id,query_found
98,"[0.25, 0.45732289742212806, 0.29267710257787194]"
156,"[0.5308180735480852, 0.0, 0.4691819264519148]"
163,"[0.5299223993717694, 0.16920684327661573, 0.30087075735161484]"
173,"[0.375, 0.14347303534803782, 0.4815269646519622]"
191,"[0.0, 0.125, 0.875]"
208,"[0.1875, 0.0, 0.8125]"
211,"[0.0625, 0.04896852260920275, 0.8885314773907973]"
264,"[0.125, 0.0, 0.875]"
276,"[0.125, 0.045140849216972416, 0.8298591507830275]"
290,"[0.32670564022627124, 0.0, 0.6732943597737288]"
336,"[0.375, 0.625, 0.0]"
363,"[0.5913071832489011, 0.4086928167510989, 0.0]"
513,"[0.2571586618842235, 0.0941093586219882, 0.6487319794937882]"
590,"[0.004670482727045156, 0.27429413337739306, 0.7210353838955618]"
591,"[0.5, 0.058994269106662015, 0.44100573089333794]"
763,"[0.7405499335294562, 0.052662210253029876, 0.20678785621751394]"
847,"[0.0, 0.20507587833252558, 0.7949241216674744]"
1045,"[0.0003934023433389003, 0.14979210341489818, 0.8498144942417629]"
1155,"[0.0, 0.13896075983687042, 0.8610392401631296]"
1181,"[0.0, 0.5, 0.5]"
1274,"[0.6878265425168374, 0.0, 0.3121734574831626]"
1371,"[0.625, 0.0, 0.375]"
1421,"[0.06976702636333164, 0.1417724983522813, 0.7884604752843871]"
1688,"[0.03195688357033289, 0.0, 0.9680431164296671]"
1759,"[0.5, 0.5, 0.0]"
2126,"[0.1969252274283021, 0.19497432505273066, 0.6081004475189673]"
2139,"[0.10299489184958902, 0.75, 0.147005108150411]"
2220,"[1.0, -0.0, 0.0]"
2458,"[0.7948736000015953, 0.20512639999840465, 0.0]"
