id,maxrank
306910,11
556818,34
742415,6
943565,31
2273362,98
2423689,5
2581354,1
2885479,16
3978327,6
4108855,29
4648842,113
5048949,55
5458272,40
6370697,6
7996811,112
9043638,65
9192863,36
9892840,28
10261360,61
10833507,7
11130224,20
11980057,34
12361171,55
12516170,25
12625636,33
12679032,40
12767183,5
13037042,37
13408597,43
13455324,3
13459761,66
14898478,7
15474214,22
15496753,36
15520072,36
15823185,54
15997906,36
16475326,9
16804760,7
16818125,1
16851024,66
17432484,20
17489870,5
17926454,55
18088319,11
18355614,20
18716036,15
19067793,67
19219087,58
19679954,32
19762012,28
20048517,120
20073799,52
20254593,52
20261719,52
20262666,44
20263550,47
21378171,58
21387558,46
21947539,12
21974676,1
22010810,32
22161552,48
22374933,27
22461695,90
22936510,16
23029112,35
23210253,2
23464799,3
23609358,1
23622867,105
24245107,5
24469505,7
26769157,22
27153141,49
27601995,12
27677550,4
27710449,31
28106763,2
29432522,49
29897035,1
30468812,109
30690888,121
30852913,44
31068613,14
31368815,54
31536421,20
31566115,12
31665875,24
32088980,4
32125014,71
32125409,8
32543494,1
32731120,4
32808781,52
32825515,3
32825787,16
32961145,71
33134806,1
33682330,8
34226328,44
34415994,138
35082220,70
35373406,6
36093553,61
36178900,29
36741942,23
36793830,2
36796002,2
36992156,98
37644572,10
37793661,58
38039502,3
38125901,17
38427994,76
38641366,14
38672256,9
39544244,15
39549542,3
41104393,24
41250176,31
41464985,45
41992564,1
42434414,82
42755089,12
43439712,64
43592369,1
43677428,9
43737772,54
43773042,37
44047095,18
44449113,1
45005412,39
45374590,2
45825723,15
46003619,35
46111858,5
46235521,48
46558067,47
47877165,14
48545009,26
48882733,7
49522133,11
49814777,9
49846958,2
49961618,14
49971914,8
50099383,3
50188331,12
50533346,11
50627867,31
51058488,44
51570071,4
52002510,1
52045757,3
52119469,7
52642083,22
52852620,15
53100061,17
53124874,20
