id,query_found
3,"[0.0, 0.75, 0.25]"
4,"[0.27903119220634853, 0.7209688077936515, 0.0]"
8,"[0.75, 0.25, 0.0]"
9,"[0.375, 0.0, 0.625]"
10,"[0.2711606978330012, 0.1811515835961954, 0.5476877185708035]"
13,"[0.36945595169415274, 0.15535512039430474, 0.47518892791154255]"
14,"[0.25, 0.5, 0.25]"
15,"[0.3125, 0.28125, 0.40625]"
16,"[0.026144560903097455, 0.375, 0.5988554390969025]"
20,"[0.1875, 0.5056631560433718, 0.30683684395662825]"
26,"[0.018131975226908292, 0.22443415303634573, 0.7574338717367459]"
28,"[0.25, 0.625, 0.125]"
29,"[0.5, 0.0, 0.5]"
30,"[0.3343962150465868, 0.5083214942495791, 0.15728229070383415]"
31,"[0.25, 0.6180518065576919, 0.13194819344230813]"
32,"[0.7901381390859523, 0.20986186091404765, 0.0]"
33,"[0.75, 0.25, 0.0]"
36,"[0.25, 0.5862054923592981, 0.16379450764070191]"
44,"[0.0, 1.0, 0.0]"
45,"[0.548341375988006, 0.0, 0.45165862401199397]"
54,"[0.07741517950834294, 0.8125, 0.11008482049165702]"
58,"[0.0, 0.0, 1.0]"
64,"[0.49299610871231103, 0.507003891287689, 0.0]"
67,"[0.0, 0.75, 0.25]"
85,"[0.3228548548558457, 0.2722562591903371, 0.4048888859538172]"
86,"[0.43484401945577317, 0.0, 0.5651559805442268]"
87,"[0.75, 0.137272099661427, 0.11272790033857305]"
95,"[0.5, 0.0, 0.5]"
