id,maxrank
158,2
434,41
567,8
627,133
721,80
913,9
1184,16
1227,11
1230,10
1565,38
1629,20
1721,12
2199,51
2277,12
2537,6
2558,27
2965,7
3076,34
3274,33
3397,142
3584,68
3629,14
3704,6
3723,6
3737,1
3749,8
3755,8
3941,13
3983,2
4013,72
4167,24
4522,83
5017,19
5162,78
5341,6
5817,1
6005,13
6126,23
6229,1
6348,10
6455,5
6901,21
6980,9
7137,12
7249,22
7336,1
7529,1
7625,7
7656,67
7688,6
8042,8
8064,201
8253,6
8347,18
8479,133
8539,10
8616,70
8940,30
9042,71
9284,1
9384,1
9438,156
9522,15
9624,8
9638,16
9994,11
10013,2
10628,6
10682,1
10753,4
11194,9
11227,9
11287,2
11293,10
11519,8
11619,1
12264,2
12328,65
13172,33
13370,45
13458,71
13630,4
13724,9
13846,117
14023,9
14355,47
14494,107
14932,75
15229,19
15346,43
15508,25
15779,1
15794,13
16104,3
16194,1
16196,12
16632,32
16737,104
16820,11
17063,4
17173,44
17267,6
17343,21
17411,7
17588,4
17746,71
17752,22
17881,31
18044,56
18087,62
18449,93
18450,4
18455,10
18553,2
18700,79
18781,13
19106,22
19134,19
19428,3
19523,2
19527,81
19614,179
19668,1
19737,1
19893,76
20082,19
20666,3
20783,110
20957,4
21325,7
21410,19
21762,75
22053,9
22167,40
22177,92
22214,6
22279,9
22300,18
22535,22
22921,51
23158,1
23460,16
23646,18
23762,38
23933,100
24096,249
24108,63
24141,2
24237,3
24276,30
24424,163
24471,8
24655,9
24669,6
24719,1
25096,33
25206,16
25239,31
25736,5
25817,12
26264,13
26339,9
26383,84
26479,1
26658,6
26682,118
26962,90
27101,4
27128,17
27135,24
27465,15
27589,8
27730,47
27769,6
28057,3
28271,11
29267,89
29527,11
29744,14
29968,55
30003,128
30593,5
30771,2
30843,22
31074,39
31527,4
31536,5
31805,80
32128,12
32232,27
32519,6
32691,1
32781,7
32829,5
32865,2
33039,57
33102,10
33227,34
33240,111
33272,71
33434,88
33572,106
33699,15
33762,38
34121,23
34129,33
34287,9
34401,4
34487,40
34517,11
34541,1
34637,106
35082,27
35195,40
36135,1
36328,16
36365,21
36619,9
36857,5
37232,131
37371,1
37412,7
37561,29
37662,24
38019,14
38091,6
38119,4
38120,11
38358,18
38482,7
38879,22
38903,19
39221,55
39234,2
39434,14
39567,5
39729,34
39765,47
40038,24
40363,37
40435,1
40447,42
40449,4
40665,13
40695,15
40703,1
40809,124
40871,32
41022,138
41149,1
41190,34
41265,41
41275,2
41278,10
41516,2
41848,2
41861,26
42087,31
42138,16
42224,100
42311,3
42458,66
42488,5
42715,102
42811,18
42931,20
43180,22
43191,40
43293,17
43301,212
43387,2
43654,3
43864,51
43972,19
44054,29
44366,28
44621,2
45109,1
45295,166
45598,13
45811,9
45855,12
46402,22
46497,95
46511,19
46523,10
46662,20
46706,14
46745,26
47171,5
47220,13
47440,39
47658,12
47659,38
47705,16
48056,24
48214,47
48528,1
48638,10
48658,28
48873,96
49129,36
49182,53
49274,141
49364,31
49438,22
49523,21
49646,17
49908,1
