id,intLeft,intRight
1025,0.543652,0.544750
1025,0.548390,0.548678
1025,0.557842,0.563728
1566,0.609348,0.609446
1566,0.622853,0.624348
1912,0.572188,0.573859
1912,0.573937,0.585958
1912,0.589258,0.593872
1913,0.596155,0.612703
1978,0.586703,0.613177
3254,0.621052,0.624427
3256,0.588332,0.589337
3256,0.593439,0.594073
5338,0.987793,0.995633
5534,0.621140,0.624718
5534,0.630347,0.636544
5534,0.709021,0.710224
6052,0.151553,0.303305
9667,0.554269,0.585110
9674,0.525822,0.546238
9674,0.560435,0.562950
10296,0.000000,0.543531
11702,0.562485,0.563864
11818,0.518640,0.554269
11834,0.602250,0.609822
12136,0.000000,0.116721
12136,0.130991,0.140699
12185,0.000000,0.151553
12309,0.353568,0.379024
12355,0.430261,0.447402
12358,0.000000,0.028309
12360,0.234046,0.260798
12360,0.408812,0.460507
12431,0.585110,0.586703
13121,0.000000,0.594491
13938,0.495359,0.507899
13959,0.708677,0.710031
19761,0.621159,0.624601
19761,0.630382,0.638045
20048,0.562950,0.571513
