id,query_found
1,"[1.0, 0.0, 0.0]"
3,"[1.0, 0.0, 0.0]"
4,"[0.5, 0.5, 0.0]"
19,"[0.7609412821693401, 0.0, 0.2390587178306599]"
21,"[0.6875, 0.0, 0.3125]"
43,"[0.25, 0.0, 0.75]"
117,"[0.4525976828687729, 0.547402317131227, 1.1102230246251565e-16]"
120,"[0.032098833630641095, 0.5, 0.46790116636935886]"
142,"[0.16615643398568936, 0.08161113926922045, 0.7522324267450902]"
260,"[0.375, 0.0, 0.625]"
473,"[0.0, 0.3879354839442962, 0.6120645160557038]"
549,"[0.0, 0.5, 0.5]"
620,"[0.625, 0.0625, 0.3125]"
621,"[0.625, 0.0, 0.375]"
695,"[0.3667714808212787, 0.23362293572255338, 0.3996055834561679]"
758,"[0.25, 0.0, 0.75]"
1199,"[0.3125, 0.37526744366862463, 0.31223255633137537]"
1200,"[0.17767339651125658, 0.40931239247260615, 0.4130142110161372]"
1206,"[0.01690363327872192, 0.4551689521861396, 0.5279274145351385]"
1350,"[0.0007216081839326184, 0.9992783918160674, 0.0]"
1472,"[0.087075734312155, 0.17628232994456478, 0.7366419357432803]"
1495,"[0.17538559476950652, 0.20340615875763438, 0.6212082464728591]"
